Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,published_date,published_time_x,id_x,group_name,published_at,author,url_x,title_x,description,content,published_time_y,id_y,title_y,source,summary,url_y,created_at
2024-10-16 04:00:00,231.34547369396782,231.86489123072647,229.5873982094942,231.5252685546875,34082200.0,0.0,0.0,AAPL,2024-10-16,04:00:00,106.0,Apple,2024-10-16 22:39:13,,https://removed.com,[Removed],[Removed],[Removed],22:39:13,,,,,,
2024-10-16 04:00:00,231.34547369396782,231.86489123072647,229.5873982094942,231.5252685546875,34082200.0,0.0,0.0,AAPL,2024-10-16,04:00:00,138.0,Apple,2024-10-16 15:38:21,Sheena Vasani,https://www.theverge.com/2024/10/16/24270849/oneplus-pad-amazon-smart-thermostat-deal-sale,The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard,OnePlus is selling the OnePlus Pad for $359.99 with a free magnetic keyboard. Amazon’s Smart Thermostat and the USB-C Apple Pencil are also on sale.,"The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard
The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard
 / We also found deals on the Amazon Smart … [+3298 chars]",15:38:21,,,,,,
2024-10-16 04:00:00,231.34547369396782,231.86489123072647,229.5873982094942,231.5252685546875,34082200.0,0.0,0.0,AAPL,2024-10-16,04:00:00,180.0,Apple,2024-10-16 16:54:19,Mike Fazioli,https://gizmodo.com/pre-order-the-new-apple-ipad-mini-7-at-a-discounted-price-no-joke-2000512555,"Pre-Order the New Apple iPad Mini 7 at a Discounted Price, No Joke","Apple's groundbreaking new tablet is going to be one of the hottest holiday buys of the year, so get yours while you can.",Shopping prognosticators agree that one of the hottest Black Friday/Cyber Monday buys of the year will be on the new Apple iPad Mini the first one that’s built for Apple Intelligence. Pre-orders have… [+2269 chars],16:54:19,,,,,,
2024-10-17 04:00:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335938,32993800.0,0.0,0.0,AAPL,2024-10-17,04:00:00,169.0,Apple,2024-10-17 13:00:00,Chris Welch,https://www.theverge.com/c/24238184/apple-ipod-mini-2004-retro-tech-steve-jobs,Was this the sickest iPod?,The iPod Mini didn’t last long — but the tiny MP3 player showed exactly how big Apple’s idea could be.,"I never owned an iPod Mini. Even as a college freshman back at the time of its introduction, I was already more of a full-size iPod kind of nerd. Mine was the third-gen model with the backlit buttons… [+4980 chars]",13:00:00,,,,,,
2024-10-17 04:00:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335938,32993800.0,0.0,0.0,AAPL,2024-10-17,04:00:00,114.0,Apple,2024-10-17 13:39:16,Billy Steele,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7ea2282d-108d-445c-b4b9-8c1fd169551d,Apple Music helps artists turn concert set lists into playlists,"There's a certain level of fandom you hit when you research a band's tour set list before they come to your city. And some of us like to relive great concerts with some quick research on setlist.fm. The next logical step, once we're armed with this informatio…","If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",13:39:16,,,,,,
2024-10-17 04:00:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335938,32993800.0,0.0,0.0,AAPL,2024-10-17,04:00:00,190.0,Apple,2024-10-17 13:20:36,Joe Rossignol,https://www.macrumors.com/2024/10/17/apple-celebrates-10-years-of-apple-pay/,Apple Shares Letter Celebrating 10-Year Anniversary of Apple Pay,"Apple today shared a letter celebrating the recent 10-year anniversary of Apple Pay, which launched in the U.S. on October 20, 2014 as part of iOS 18.1.





Here is the full letter from Jennifer Bailey, Apple's vice president of Apple Pay and Apple Wallet:Wh…","Apple today shared a letter celebrating the upcoming 10-year anniversary of Apple Pay, which launched in the U.S. on October 20, 2014 as part of iOS 8.1.Here is the full letter from Jennifer Bailey, … [+3478 chars]",13:20:36,,,,,,
2024-10-17 04:00:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335938,32993800.0,0.0,0.0,AAPL,2024-10-17,04:00:00,199.0,Apple,2024-10-17 15:41:06,Kyle Barr,https://gizmodo.com/walmart-is-selling-a-17000-house-that-looks-like-an-iphone-2000512971,"Walmart Is Selling a $17,000 House That Looks Like an iPhone","You can now find multiple listings for prefabricated homes on Walmart for under $16,000, but you also need to remember that home ownership will never be cheap.","If the tiny home obsession wasnt already enough, Walmart now sells prefab homes on its website for $15,900 or less. The promise is four walls and a bathroom you can set up with two friends and a few … [+3185 chars]",15:41:06,,,,,,
2024-10-17 04:00:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335938,32993800.0,0.0,0.0,AAPL,2024-10-17,04:00:00,103.0,Apple,2024-10-17 16:30:48,,https://removed.com,[Removed],[Removed],[Removed],16:30:48,,,,,,
2024-10-18 04:00:00,235.9204255737285,235.9204255737285,233.75281228137578,234.74172973632812,46431500.0,0.0,0.0,AAPL,2024-10-18,04:00:00,154.0,Apple,2024-10-18 14:25:36,Joe Tilleli,https://gizmodo.com/beat-the-black-friday-rush-with-this-macbook-pro-at-its-lowest-price-ever-2000513532,Beat the Black Friday Rush with This MacBook Pro at Its Lowest Price Ever,"Apple rarely offers discounts, so this deal won’t last long—act fast before it’s gone",Amazon Prime Big Deals Days has already come to pass. This is Amazon’s big seasonal savings even where you can find tons of different products on sale for massive discounts across all categories. Fro… [+2426 chars],14:25:36,,,,,,
,,,,,,,,AAPL,2024-10-19,,155.0,Apple,2024-10-19 12:17:03,Mike Fazioli,https://gizmodo.com/this-grade-a-refurbished-macbook-air-is-cheaper-than-your-ipad-and-delivers-outstanding-performance-2000513831,This Grade A Refurbished MacBook Air Is Cheaper Than Your iPad and Delivers Outstanding Performance,StackSocial's 74%-off deal on this Grade A refurbished Apple laptop is a true steal.,"Apple loves to talk about the laptop-like experience of the iPad, and they make an excellent case because the iPad is an amazing tablet. But why spend $1,300 on a new 13-inch iPad Pro when you can bu… [+2193 chars]",12:17:03,,,,,,
