Tweet ID,Created At,Tweet Text
1857773859434541154,2024-11-16 13:12:58+00:00,RT @iamnot_elon: Would you take the Tesla Hovercraft for a spin? https://t.co/71ows3dXnJ
1857773858817749139,2024-11-16 13:12:58+00:00,"RT @TeslaCamera: Served coffee by a hater. Did the tesla really deserve that?😤
$TSLA https://t.co/KdG83mV6YQ"
1857773848168366200,2024-11-16 13:12:55+00:00,@TeslaSolanaCTO @Sartoshi0x $TESLA breaking ath
1857773846356525555,2024-11-16 13:12:55+00:00,"RT @TheEconomist: Of the many contradictory things Donald Trump has said, it is easy to latch onto the bits you like and either ignore thos…"
1857773834046177711,2024-11-16 13:12:52+00:00,RT @AcidRainbowHalo: So we have a meme token character that is hard shilled by Tesla and Elon. Basically the mascot of Tesla / one of Elons…
1857773832322372071,2024-11-16 13:12:52+00:00,@DragTimes @elonmusk @Tesla @edmunds @CNN Department of govt efficiency prob cant investigate this one 🧐
1857773832250999063,2024-11-16 13:12:52+00:00,"RT @TeslaBoomerMama: The Q3-reports are out, here the list of shorts end of Sept 24.

Former Shorts leader Sessa Capital have closed their…"
1857773798541382085,2024-11-16 13:12:43+00:00,"RT @jessicafxgold: Elon Musk and Dogecoin: Case Closed! 🚀
The Dogecoin lawsuit against Elon Musk and Tesla has come to an end as investors…"
1857773798004842551,2024-11-16 13:12:43+00:00,"RT @TheChiefNerd: Rob Baron Says Elon Musk Will Bring the Efficiency of Tesla &amp; SpaceX to the U.S. Government

“The government wanted to se…"
1857773793370058876,2024-11-16 13:12:42+00:00,@imNseemaf आपकोन हो मेरा tesla के सेवा किसीको नहीं जनता मे सामजी मे बाजारका सब्जी नहीं हरकिसीका चलामे गुलजावु ंगा
1857773771324596672,2024-11-16 13:12:37+00:00,"RT @TheChiefNerd: Rob Baron Says Elon Musk Will Bring the Efficiency of Tesla &amp; SpaceX to the U.S. Government

“The government wanted to se…"
1857773769579794903,2024-11-16 13:12:37+00:00,"RT @ElectraProtocol: 🚨 Attention #Crypto fam! Especially the #Doge lovers, #Bitcoin fanatics, and anyone watching the Elon effect! 👀

Did y…"
